Title,Company,Location,Experience,Experience_Min,Experience_Max,Salary,Salary_Min,Salary_Max,Skills,Job_Category,Keyword,Source,Posted_Date,Work_Mode,Job_Link,Role_Category
Data Analyst,BMW Techworks India,Pune,3-6 Yrs,3.0,6.0,Not Available,,,"Analytics, Automotive Diagnostics, Cloud, Cloud Platforms, Data Analysis, Data Analyst, Data Pipelines, Data Processing",Data Analyst,Data Analyst,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-data-analyst-bmw-techworks-india-private-limited-pune-3-to-6-years-160726503884,Data Analyst
Machine Learning Engineer - Localization,BMW Techworks India,Bengaluru,4-7 Yrs,4.0,7.0,Not Available,,,"Algorithms, Localization, Python, Robustness, Signal Processing, Software Development, Transformers, Wireless Technologies",Machine Learning / AI,Machine Learning,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-machine-learning-engineer-localization-bmw-techworks-india-private-limited-bengaluru-4-to-7-years-160726501127,Machine Learning / AI
Python Developer,BMW Techworks India,Hybrid - Pune,0-2 Yrs,0.0,2.0,Not Available,,,"Data Structures, Data Structures And Algorithms, Database Development, Dbms, Oops, Python, Python Development, SQL",Python Development,Python,Naukri,4 days ago,Hybrid,https://www.naukri.com/job-listings-python-developer-bmw-techworks-india-pune-0-to-2-years-270726014308,Python Development
Associate - Power BI,BNP Paribas,Hybrid - Chennai,3-6 Yrs,3.0,6.0,Not Available,,,"BI, Bi Development, Dashboards, Development, Power BI, Power Bi Development",Business Intelligence,Power Bi,Naukri,1 day ago,Hybrid,https://www.naukri.com/job-listings-associate-power-bi-bnp-paribas-chennai-3-to-6-years-300726027760,Business Intelligence
Business Analyst,BNP Paribas,Hybrid - Chennai,8-13 Yrs,8.0,13.0,Not Available,,,"Analysis, Business Analysis, Capital Market, SQL",Business Analyst,Business Analyst,Naukri,1 day ago,Hybrid,https://www.naukri.com/job-listings-business-analyst-bnp-paribas-chennai-8-to-13-years-300726027106,Business Analyst
Machine Learning Engineer,BNP Paribas,Hybrid - Chennai,4-8 Yrs,4.0,8.0,Not Available,,,"Artificial Intelligence, Cicd Methodology, Continuous Integration, Docker, Kubernetes, Machine, Machine Learning, Python",Machine Learning / AI,Machine Learning,Naukri,1 week ago,Hybrid,https://www.naukri.com/job-listings-machine-learning-engineer-bnp-paribas-chennai-4-to-8-years-200726010455,Machine Learning / AI
Market Research Analyst,BRG Enterprise Solutions India,Noida(Sector 135),1-3 Yrs,1.0,3.0,4-7 Lacs PA,4.0,7.0,"Analysis, Market Forecasting, Market Research, Market Sizing, Marketing, Primary Research, Research Analysis, Secondary Research",Research Analyst,Research Analyst,Naukri,Few hours ago,On-site,https://www.naukri.com/job-listings-market-research-analyst-brg-enterprise-solutions-india-noida-1-to-3-years-290726007351,Research Analyst
Business Intelligence Executive,BVC Logistics,"Mumbai(Mumbai Central), Mumbai Suburban, Mumbai (All Areas)",2-4 Yrs,2.0,4.0,3-6 Lacs PA,3.0,6.0,"BI, Bi Tools, Business Intelligence, Data Analysis, Data Visualization, Data Warehousing, Sql Queries, Tableau",Business Intelligence,Business Intelligence,Naukri,6 days ago,On-site,https://www.naukri.com/job-listings-business-intelligence-executive-bvc-logistics-mumbai-mumbai-suburban-mumbai-all-areas-2-to-4-years-240726031520,Business Intelligence
Business Analyst,Bahwan CyberTek,Mumbai,8-13 Yrs,8.0,13.0,Not Available,,,"Business Analysis, Business Process Analysis, Change Management, Management, Project Planning, Stakeholder Management, Translation, Usage",Business Analyst,Business Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-business-analyst-bahwan-cybertek-mumbai-8-to-13-years-220726501937,Business Analyst
Business Analyst,Bahwan CyberTek,Chennai,2-8 Yrs,2.0,8.0,Not Available,,,"Agile, Business Analysis, Gap Analysis, Issue Resolution, Process Documentation, Process Mapping, Proposal Preparation, Uat",Business Analyst,Business Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-business-analyst-bahwan-cybertek-chennai-2-to-8-years-210726501532,Business Analyst
